0,10,20,30,40,50,60,70,80,90,100
0,10,21,35,51,62,73,87,100,112,126
0,10,20,30,40,50,60,70,80,90,100
0,8,17,28,35,44,52,63,72,82,92
0,10,20,30,40,50,60,70,80,90,100
0,6,14,22,29,36,43,51,60,68,75
0,10,20,30,40,50,60,70,80,90,100
0,10,24,37,49,65,77,91,100,115,126
0,10,20,30,40,50,60,70,80,90,100
0,8,16,28,36,47,56,65,76,85,93
0,10,20,30,40,50,60,70,80,90,100
0,8,14,21,28,37,43,50,56,63,71
0,10,20,30,40,50,60,70,80,90,100
0,10,24,38,52,67,79,95,103,117,129
0,10,20,30,40,50,60,70,80,90,100
0,10,18,27,36,45,53,64,73,80,89
0,10,20,30,40,50,60,70,80,90,100
0,7,14,21,27,35,42,48,54,61,71
